,date,obs,pred
141,20/05/2000,1.5991,1.672231181
142,21/05/2000,1.7922,1.54703898
143,22/05/2000,1.3872,1.283422935
144,23/05/2000,1.1455,1.121877015
145,24/05/2000,1.0461,1.033939643
146,25/05/2000,0.893,0.937699271
147,26/05/2000,0.8446,0.857272207
148,27/05/2000,0.7434,0.784036014
149,28/05/2000,0.6511,0.75778573
150,29/05/2000,0.6588,0.884283081
151,30/05/2000,1.234,1.253055087
152,31/05/2000,1.1374,1.472204161
153,1/06/2000,0.9346,1.527335469
154,2/06/2000,1.3781,2.04937938
155,3/06/2000,4.4943,3.324255449
156,4/06/2000,4.798,3.604215779
157,5/06/2000,3.0146,2.893087781
158,6/06/2000,2.4356,2.446842872
159,7/06/2000,2.0882,2.117780398
160,8/06/2000,1.7525,1.854394013
161,9/06/2000,1.6828,1.777431504
162,10/06/2000,1.5677,1.673107724
163,11/06/2000,1.3682,1.475252882
164,12/06/2000,1.2604,1.478040485
165,13/06/2000,1.3346,1.995948256
166,14/06/2000,1.6448,2.984575214
167,15/06/2000,2.9815,3.083592544
168,16/06/2000,2.6978,2.58033685
169,17/06/2000,2.1563,2.393773868
170,18/06/2000,2.4193,2.812306855
171,19/06/2000,2.9761,3.004094236
172,20/06/2000,2.5887,2.574734213
173,21/06/2000,2.1295,2.073259762
174,22/06/2000,1.8286,1.73534095
175,23/06/2000,1.6006,1.565606772
176,24/06/2000,1.5696,1.612505379
177,25/06/2000,1.5513,1.824452258
178,26/06/2000,1.3361,1.677819277
179,27/06/2000,1.2366,1.491247683
180,28/06/2000,1.1884,1.403744034
181,29/06/2000,1.1719,1.400179714
182,30/06/2000,1.1159,1.353107158
183,1/07/2000,1.0384,1.362835115
184,2/07/2000,1.1023,1.744861899
185,3/07/2000,1.3707,2.655603685
186,4/07/2000,1.5994,3.384405355
187,5/07/2000,2.3605,3.770875135
188,6/07/2000,2.7604,4.347886615
189,7/07/2000,2.0174,3.427994161
190,8/07/2000,1.6747,2.641875201
191,9/07/2000,1.4749,2.149066919
192,10/07/2000,1.3222,1.882116026
193,11/07/2000,1.2273,1.784685783
194,12/07/2000,1.1723,1.789394785
195,13/07/2000,1.0877,1.643542941
196,14/07/2000,1.0182,1.511183155
197,15/07/2000,0.9545,1.390026351
198,16/07/2000,0.9122,1.310707346
199,17/07/2000,0.9014,1.291010065
200,18/07/2000,0.8999,1.329092577
201,19/07/2000,0.9087,1.326553426
202,20/07/2000,1.0088,1.385826718
203,21/07/2000,1.0707,1.88672749
204,22/07/2000,5.2423,4.086786966
205,23/07/2000,8.4328,8.227686066
206,24/07/2000,5.4623,5.613985245
207,25/07/2000,4.0558,4.100182451
208,26/07/2000,3.2414,3.039394939
209,27/07/2000,2.702,2.499009577
210,28/07/2000,2.3101,2.178472644
211,29/07/2000,2.0225,1.938449406
212,30/07/2000,1.8139,1.760756139
213,31/07/2000,1.6641,1.637842184
214,1/08/2000,1.5725,1.582490793
215,2/08/2000,1.4994,1.572191976
216,3/08/2000,1.3954,1.483021769
217,4/08/2000,1.3228,1.410637383
218,5/08/2000,1.2869,1.431991199
219,6/08/2000,1.4602,1.717432144
220,7/08/2000,2.5268,2.410016301
221,8/08/2000,3.1285,3.214991042
222,9/08/2000,2.9473,3.031785353
223,10/08/2000,2.6722,2.71721775
224,11/08/2000,2.418,2.57034577
225,12/08/2000,3.0828,2.932262534
226,13/08/2000,2.6855,3.142014846
227,14/08/2000,2.4881,2.762479721
228,15/08/2000,2.42,2.358284203
229,16/08/2000,2.373,2.13875163
230,17/08/2000,2.2181,1.994605171
231,18/08/2000,2.1003,1.81788515
232,19/08/2000,1.9965,1.680849663
233,20/08/2000,1.9544,1.602424138
234,21/08/2000,1.8652,1.594276015
235,22/08/2000,1.9707,1.612673739
236,23/08/2000,1.8251,1.615373619
237,24/08/2000,1.7291,1.524028449
238,25/08/2000,1.6567,1.437166728
239,26/08/2000,1.5841,1.370092619
240,27/08/2000,1.5013,1.318827994
241,28/08/2000,1.426,1.275211895
242,29/08/2000,1.3926,1.236759138
243,30/08/2000,1.3595,1.202473353
244,31/08/2000,1.3164,1.172570053
245,1/09/2000,1.2892,1.148585082
246,2/09/2000,1.286,1.187474364
247,3/09/2000,1.3546,1.500041094
248,4/09/2000,2.3398,2.329798317
249,5/09/2000,2.4275,2.773748731
250,6/09/2000,2.0648,2.429372318
251,7/09/2000,1.9411,2.382971025
252,8/09/2000,2.065,2.64809817
253,9/09/2000,1.8667,2.291929161
254,10/09/2000,1.7727,2.06272262
255,11/09/2000,1.7115,2.349127756
256,12/09/2000,3.6798,3.569697869
257,13/09/2000,3.9558,4.485542758
258,14/09/2000,3.3522,3.870357211
259,15/09/2000,3.0344,2.985815211
260,16/09/2000,2.8198,2.431307122
261,17/09/2000,2.6436,2.236285491
262,18/09/2000,2.7601,2.574716787
