"","5%","25%","50%","75%","95%"
"2768",0.387491665800706,0.522465395528069,0.696393450124259,0.856542333487227,1.1847406727089
"2769",0.359267478847447,0.503088158191165,0.700188489564217,0.91197227951639,1.13971803789899
"2770",0.387060420969639,0.603798506110208,0.783001678537958,1.01767512577184,1.39182310433723
"2771",0.453287977195203,0.61052396399034,0.813284602572848,1.03746757949695,1.48359996748013
"2772",0.411043801933335,0.591313190211181,0.759013217027958,0.913746984629942,1.29942936744919
"2773",0.404872774586088,0.552001466692524,0.670849310091087,0.855794516356349,1.19302485703786
"2774",0.34483309880414,0.515414119763569,0.648954841415688,0.863233706257112,1.24234885757466
"2775",0.360646335895146,0.511814164329013,0.691579165183307,0.867814688408623,1.2879607198411
"2776",0.324548703128924,0.470191092693574,0.631681714343422,0.791766013725666,1.26915648871348
"2777",0.290399399238355,0.418670323633787,0.623035884162117,0.769147602841272,1.08857526234001
"2778",0.296403298762308,0.486705852477798,0.611381723975429,0.794123541069273,1.16123914903842
"2779",0.328486504902023,0.465036886153772,0.597467349159092,0.816671824245936,1.32137219491832
"2780",0.547415088771235,0.887371986079637,1.09930951623075,1.42173217169666,2.05330009381194
"2781",1.40845890294095,1.88653467301205,2.49380651123537,3.11672341835787,4.07539268660596
"2782",1.31297591521988,1.87353063819998,2.4947459676031,2.8192708460869,3.75598227291919
"2783",0.990380442307002,1.40514616714399,1.67022219654948,1.96795505419516,2.72923116021077
"2784",0.775612461024289,1.0239678031653,1.4023164223857,1.67940126017295,2.49396032641427
"2785",0.601933808363268,0.91792864648668,1.15136570707377,1.41347822302165,2.13212370711904
"2786",0.483506205978652,0.806059190649166,1.00836653759499,1.21092569516576,1.73711420570653
"2787",0.492041540877478,0.733119008659671,0.893052120378258,1.07469204903174,1.47456863885245
"2788",0.494569916718173,0.63885470217084,0.827226566608783,1.00340240915005,1.26934499080896
"2789",0.443138968111938,0.6176696283453,0.781060394115114,0.951478276012748,1.27688977517158
"2790",0.33672207409093,0.557761092531187,0.668340335033614,0.840099229570929,1.14179404130938
"2791",0.366823442092997,0.474851942445077,0.602904719039291,0.779006907127794,1.16573926630787
"2792",0.302530423322676,0.445897645717095,0.563552388779272,0.773207962298256,1.06103599952355
"2793",0.280616278394616,0.459081915316885,0.547743685120953,0.706379876080952,0.936541048943157
"2794",0.252904420230966,0.424713534288121,0.547247988065945,0.708490467465522,1.09968663461903
"2795",0.276725626287898,0.368442276471064,0.58247401094844,0.736151197930425,0.92083819825843
"2796",0.314566907295187,0.432515800030424,0.560177859224305,0.706779847690927,1.02229986323739
"2797",0.278313240984275,0.428051521878611,0.522404667876044,0.711611136963011,0.972335328550936
"2798",0.356900292755086,0.47944842616946,0.601718921807091,0.774298228748391,1.0635288597991
"2799",0.562922807570468,0.858325814277397,1.04189154962684,1.35500448324164,1.84848931200528
"2800",0.70128589880574,1.00566515554054,1.26702173269679,1.54405634847152,2.06219830705077
"2801",0.60069822767574,0.813010100147892,1.06738256355693,1.3680283647429,1.89015352292015
"2802",0.562004514800677,0.733834687269008,0.932632437731522,1.08510716172289,1.56534903447651
